用例ID,用例标题,模块,优先级,前置条件,操作步骤,预期结果
TC001,活动入口-活动时间内正常显示,活动入口,P0,活动已开启，用户已登录,1. 跳过新手流程 2. 进入游戏主界面,活动入口按钮正常显示，样式正确
TC002,活动入口-点击进入活动,活动入口,P0,活动已开启，用户已登录,1. 跳过新手流程 2. 点击活动入口按钮,成功进入活动主界面
TC003,活动入口-查看活动规则,活动入口,P1,用户已进入活动界面,1. 跳过新手流程 2. 点击活动规则按钮,活动规则弹窗打开，内容正确显示
TC004,活动入口-活动未开始,活动入口,P1,活动未开始，用户已登录,1. 跳过新手流程 2. 进入游戏主界面,活动入口不显示或显示"即将开始"
TC005,活动入口-活动已结束,活动入口,P1,活动已结束，用户已登录,1. 跳过新手流程 2. 进入游戏主界面,活动入口不显示或显示"已结束"
TC006,地图棋盘-正常显示,地图棋盘,P0,用户已进入活动界面,1. 跳过新手流程 2. 进入活动界面,棋盘正常显示，我的世界主题风格正确
TC007,地图棋盘-玩家位置标识,地图棋盘,P0,用户已有移动记录,1. 跳过新手流程 2. 进入活动界面,玩家当前位置高亮显示，与实际位置一致
TC008,地图棋盘-格子类型区分,地图棋盘,P1,用户已进入活动界面,1. 跳过新手流程 2. 查看棋盘,不同格子类型视觉区分明显
TC009,地图棋盘-拖动地图,地图棋盘,P1,用户已进入活动界面，棋盘较大,1. 跳过新手流程 2. 拖动地图,地图可正常拖动，显示流畅
TC010,骰子-正常投掷,骰子/前进,P0,用户在活动界面，行动点充足,1. 跳过新手流程 2. 点击骰子按钮,播放投掷动画，生成1-6随机点数
TC011,骰子-玩家移动,骰子/前进,P0,用户在活动界面，行动点充足,1. 跳过新手流程 2. 投掷骰子获得点数,玩家按点数移动，播放移动动画
TC012,骰子-行动点不足,骰子/前进,P0,用户在活动界面，行动点为0,1. 跳过新手流程 2. 点击骰子按钮,按钮置灰或提示"行动点不足"
TC013,骰子-连续多次投掷,骰子/前进,P1,用户在活动界面，行动点充足,1. 跳过新手流程 2. 连续投掷骰子10次,每次投掷正常，点数分布均匀
TC014,骰子-到达终点,骰子/前进,P1,用户在活动界面，距离终点点数匹配,1. 跳过新手流程 2. 投掷骰子刚好到达终点,到达终点，触发终点奖励
TC015,空白格-到达,格子系统,P0,用户在活动界面，行动点充足,1. 跳过新手流程 2. 投掷骰子到达空白格,无特殊效果，可继续投掷
TC016,事件格-到达触发事件,格子系统,P0,用户在活动界面，行动点充足,1. 跳过新手流程 2. 投掷骰子到达事件格,事件弹窗弹出，随机事件触发
